"","id","one","t","diff"
"1",1,1,1,0.0993503584687087
"2",2,1,2,0.236717090090267
"3",3,1,3,0.0950153409708736
"4",4,1,4,-0.0345354179177696
"5",5,1,5,-0.0824628501663833
"6",6,1,6,-0.0363954992442844
"7",7,1,7,0.00957971583600731
"8",8,1,8,-0.288747273068681
"9",9,1,9,-0.0926334528445349
"10",10,1,10,0.162716140176336
"11",11,1,11,0.169758524024167
"12",12,1,12,0.097404252199405
"13",13,1,13,-0.131388433096451
"14",14,1,14,-0.207789667918003
"15",15,1,15,-0.120972319153671
"16",16,1,16,-0.145765484403006
"17",17,1,17,0.0510370799028439
"18",18,1,18,-0.0553917241080145
"19",19,1,19,0.114940614933925
"20",20,1,20,0.111663614346854
"21",21,1,21,0.0703582220799008
"22",22,1,22,0.0201658755485579
"23",23,1,23,-0.0216800702203327
"24",24,1,24,0.0605040196015022
"25",25,1,25,0.0886438309641065
"26",26,1,26,0.0131306907726364
"27",27,1,27,0.122666274791498
"28",28,1,28,-0.0531069245414708
"29",29,1,29,0.173939923020964
"30",30,1,30,0.000586397667141317
"31",31,1,31,-0.0343845731481165
"32",32,1,32,-0.10950191799316
"33",33,1,33,-0.0186848779387877
"34",34,1,34,-0.0357405871156543
"35",35,1,35,0.0551124160486064
"36",36,1,36,-0.0207381750866321
"37",37,1,37,0.222571502460429
"38",38,1,38,-0.0940617535140583
"39",39,1,39,0.202132157182221
"40",40,1,40,-0.117878014183954
"41",41,1,41,-0.0549850144184221
"42",42,1,42,-0.0204361250846508
"43",43,1,43,-0.14432917270165
"44",44,1,44,-0.0328468733053215
"45",45,1,45,0.151129565104698
"46",46,1,46,-0.0498304548347701
"47",47,1,47,-0.128381277412219
"48",48,1,48,-0.00244165981513017
"49",49,1,49,-0.0799669788728455
"50",50,1,50,-0.0845651120883558
"51",51,1,51,-0.0792615340945925
"52",52,1,52,-0.205394683254152
"53",53,1,53,-0.0303619235246153
"54",54,1,54,0.136185116389485
"55",55,1,55,0.121331941323769
"56",56,1,56,0.0245102408356421
"57",57,1,57,0.0855389607351878
"58",58,1,58,0.0860791483977585
"59",59,1,59,0.0264222323904721
"60",60,1,60,0.0279492872916598
"61",61,1,61,-0.0755870301028714
"62",62,1,62,-0.0406149500874491
"63",63,1,63,-0.0787227485882332
"64",64,1,64,0.00742998080514459
"65",65,1,65,-0.0896283228059218
"66",66,1,66,-0.0157048992687786
"67",67,1,67,0.129076981813333
"68",68,1,68,0.223741620416272
"69",69,1,69,-0.0494818003335567
"70",70,1,70,-0.0757299035844528
"71",71,1,71,0.0170427135757324
"72",72,1,72,0.000381592809075779
"73",73,1,73,-0.0738857972131997
"74",74,1,74,-0.0855023225668631
"75",75,1,75,-0.0720683096683903
"76",76,1,76,-0.0120232474324211
"77",77,1,77,-0.0410256967408435
"78",78,1,78,0.00437169643529749
"79",79,1,79,-0.109641622358296
"80",80,1,80,-0.0287482661472511
"81",81,1,81,0.0491388441558499
"82",82,1,82,-0.0843232593328163
"83",83,1,83,0.0826861507634055
"84",84,1,84,-0.130622588499311
"85",85,1,85,0.0684950082555248
"86",86,1,86,-0.0576590270774298
"87",87,1,87,-0.0547316688970109
"88",88,1,88,0.209763630591398
"89",89,1,89,-0.141137948176837
"90",90,1,90,0.0912869323008574
"91",91,1,91,-0.253596368541085
"92",92,1,92,-0.218501789288164
"93",93,1,93,0.12637676849335
"94",94,1,94,0.312486502025143
"95",95,1,95,0.134526125663909
"96",96,1,96,-0.0203498716407203
"97",97,1,97,0.153222516059471
"98",98,1,98,0.0761392702900293
"99",99,1,99,-0.058837629995235
"100",100,1,100,-0.0042648113094893
"101",101,1,101,-0.0669620312215265
"102",102,1,102,-0.0343576375489536
"103",103,1,103,-0.170106783150429
"104",104,1,104,0.0615965527532118
"105",105,1,105,0.182156014971757
"106",106,1,106,0.0880160921179749
"107",107,1,107,-0.20557847483645
"108",108,1,108,-0.0350440444565965
"109",109,1,109,-0.108067088177509
"110",110,1,110,-0.000827036781272522
"111",111,1,111,0.00597069532806506
"112",112,1,112,-0.0205973556382447
"113",113,1,113,0.103351243791275
"114",114,1,114,0.10770073209885
"115",115,1,115,0.133532826266706
